City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,boa vista,2.8197,-60.6733,31.99,43,0,7.2,BR,1679758596
321,bijar,35.8668,47.6051,11.92,46,97,1.92,IR,1679758446
322,taoudenni,22.6783,-3.9836,33.32,6,22,7.44,ML,1679758596
323,monte patria,-30.6919,-70.9467,26.57,40,0,3.45,CL,1679758596
324,obo,5.3998,26.4869,27.99,53,75,2.56,CF,1679758597
325,flinders,-34.5833,150.8552,19.65,86,87,0.89,AU,1679758597
326,sabang,5.8933,95.3214,28.47,71,64,2.85,ID,1679758597
327,constitucion,-35.3333,-72.4167,21.81,49,0,6.27,CL,1679758597
328,aykhal,66.0,111.5,-19.29,100,82,2.83,RU,1679758597
329,cangzhou,38.3167,116.8667,4.42,66,0,2.44,CN,1679758597
330,kholbon,51.8833,116.25,-11.39,95,10,2.51,RU,1679758597
331,port elizabeth,-33.918,25.5701,25.05,58,0,5.14,ZA,1679758598
332,raudeberg,61.9875,5.1352,4.37,54,0,12.92,NO,1679758598
333,manggar,-2.8833,108.2667,25.9,81,97,2.95,ID,1679758598
334,iranshahr,27.2025,60.6848,27.19,18,0,2.06,IR,1679758598
335,haimen,23.1935,116.6142,18.94,90,100,4.06,CN,1679758598
336,mayo,38.8876,-76.5119,8.88,92,75,2.68,US,1679758598
337,narsaq,60.9167,-46.05,0.12,54,0,1.27,GL,1679758599
338,laguna,38.421,-121.4238,8.97,59,0,6.17,US,1679758599
339,aklavik,68.2191,-135.0107,-11.0,79,75,6.17,CA,1679758599
340,qostanay,53.1667,63.5833,1.16,86,0,4.0,KZ,1679758599
341,malakal,9.5334,31.6605,37.82,14,63,0.47,SS,1679758599
342,shar,49.5886,81.0453,-2.78,82,30,3.18,KZ,1679758600
343,saint anthony,45.0205,-93.218,3.56,62,100,3.6,US,1679758600
344,san ramon de la nueva oran,-23.1322,-64.326,30.79,55,72,1.58,AR,1679758600
345,marawi,7.9986,124.2928,20.56,95,20,0.79,PH,1679758600
346,la asuncion,11.0333,-63.8628,27.85,74,59,6.69,VE,1679758600
347,isangel,-19.55,169.2667,25.06,100,20,1.03,VU,1679758600
348,dejen,10.1667,38.1333,22.13,19,99,0.77,ET,1679758600
349,vila velha,-20.3297,-40.2925,33.3,54,0,4.63,BR,1679758600
350,lunenburg,44.3835,-64.3155,4.71,62,8,3.6,CA,1679758398
351,quelimane,-17.8786,36.8883,24.0,93,49,2.27,MZ,1679758601
352,inuvik,68.3499,-133.7218,-11.44,85,100,4.63,CA,1679758601
353,chavakkad,10.5333,76.05,27.6,75,32,1.81,IN,1679758601
354,tecoanapa,16.5167,-98.75,27.49,59,45,2.1,MX,1679758601
